,postcode,gemiddelde_woz_waarde_woning,gemeente,geometry
102870,2554,425,'s-Gravenhage,
102949,2555,181,'s-Gravenhage,
103283,2561,191,'s-Gravenhage,
103423,2562,147,'s-Gravenhage,
103699,2563,161,'s-Gravenhage,
103980,2564,221,'s-Gravenhage,
104248,2565,210,'s-Gravenhage,
104630,2566,462,'s-Gravenhage,
104937,2571,113,'s-Gravenhage,
105150,2572,131,'s-Gravenhage,
105345,2573,111,'s-Gravenhage,
105636,2574,121,'s-Gravenhage,
105863,2581,257,'s-Gravenhage,
105968,2582,421,'s-Gravenhage,
106259,2583,176,'s-Gravenhage,
106549,2584,236,'s-Gravenhage,
106761,2585,412,'s-Gravenhage,
106996,2586,227,'s-Gravenhage,
107247,2587,352,'s-Gravenhage,
107468,2591,123,'s-Gravenhage,
107659,2592,118,'s-Gravenhage,
107864,2593,184,'s-Gravenhage,
108116,2594,396,'s-Gravenhage,
108181,2595,222,'s-Gravenhage,
108379,2596,456,'s-Gravenhage,
108596,2597,402,'s-Gravenhage,
108870,2611,252,Delft,
109225,2612,190,Delft,
109494,2613,207,Delft,
109841,2614,218,Delft,
110085,2616,495,Delft,
110108,2622,186,Delft,
110293,2623,180,Delft,
110483,2624,129,Delft,
110842,2625,143,Delft,
111182,2626,850,Delft,
111185,2627,264,Delft,
111232,2628,169,Delft,
111530,2629,213,Delft,
111552,2631,311,Pijnacker-Nootdorp,
111863,2632,256,Pijnacker-Nootdorp,
111938,2635,276,Midden-Delfland,
112093,2636,287,Midden-Delfland,
112228,2641,242,Pijnacker-Nootdorp,
112596,2642,269,Pijnacker-Nootdorp,
112708,2643,219,Pijnacker-Nootdorp,
112753,2645,281,Pijnacker-Nootdorp,
112916,2651,258,Lansingerland,
113290,2652,287,Lansingerland,
113469,2661,289,Lansingerland,
113767,2662,266,Lansingerland,
113866,2665,263,Lansingerland,
114170,2671,232,Westland,
114567,2672,261,Westland,
114657,2673,347,Westland,
114703,2675,244,Westland,
114921,2676,251,Westland,
115049,2678,254,Westland,
115352,2681,235,Westland,
115697,2684,173,Westland,
115726,2685,227,Westland,
115903,2691,238,Westland,
116302,2692,224,Westland,
116368,2693,270,Westland,
116393,2694,282,Westland,
116443,2711,148,Zoetermeer,
116596,2712,187,Zoetermeer,
116820,2713,154,Zoetermeer,
116984,2715,132,Zoetermeer,
