,Soort_misdrijf,Perioden,Regio's,Provincie,Aantal_misdrijven,Misdrijven_relatief(%),Aantal_misdrijven_genormaliseerd,Aantal_misdrijven_klasse
11493,3 Gewelds- en seksuele misdrijven,2016,Montferland,Gelderland,135.0,10.0,0.0013280865715691098,Midden
11494,3 Gewelds- en seksuele misdrijven,2017,Montferland,Gelderland,95.0,9.0,0.0009345794392523365,Midden
11495,4 Misdrijven WvSr (overig),2013,Montferland,Gelderland,15.0,1.0,0.00014756517461878997,Midden
11496,4 Misdrijven WvSr (overig),2014,Montferland,Gelderland,15.0,1.0,0.00014756517461878997,Midden
11497,4 Misdrijven WvSr (overig),2015,Montferland,Gelderland,15.0,1.0,0.00014756517461878997,Midden
11498,4 Misdrijven WvSr (overig),2016,Montferland,Gelderland,15.0,1.0,0.00014756517461878997,Midden
11499,4 Misdrijven WvSr (overig),2017,Montferland,Gelderland,10.0,1.0,9.837678307919332e-05,Laag
11500,5 Verkeersmisdrijven,2013,Montferland,Gelderland,190.0,15.0,0.001869158878504673,Midden
11501,5 Verkeersmisdrijven,2014,Montferland,Gelderland,145.0,12.0,0.0014264633546483031,Midden
11502,5 Verkeersmisdrijven,2015,Montferland,Gelderland,160.0,14.0,0.0015740285292670931,Midden
11503,5 Verkeersmisdrijven,2016,Montferland,Gelderland,150.0,11.0,0.0014756517461878998,Midden
11504,5 Verkeersmisdrijven,2017,Montferland,Gelderland,145.0,14.0,0.0014264633546483031,Midden
11505,6 Drugsmisdrijven,2013,Montferland,Gelderland,20.0,1.0,0.00019675356615838664,Midden
11506,6 Drugsmisdrijven,2014,Montferland,Gelderland,15.0,1.0,0.00014756517461878997,Midden
11507,6 Drugsmisdrijven,2015,Montferland,Gelderland,15.0,1.0,0.00014756517461878997,Midden
11508,6 Drugsmisdrijven,2016,Montferland,Gelderland,15.0,1.0,0.00014756517461878997,Midden
11509,6 Drugsmisdrijven,2017,Montferland,Gelderland,10.0,1.0,9.837678307919332e-05,Laag
11510,7 (Vuur)wapenmisdrijven,2013,Montferland,Gelderland,5.0,1.0,4.918839153959666e-05,Laag
11511,7 (Vuur)wapenmisdrijven,2014,Montferland,Gelderland,5.0,0.0,4.918839153959666e-05,Laag
11512,7 (Vuur)wapenmisdrijven,2015,Montferland,Gelderland,5.0,0.0,4.918839153959666e-05,Laag
11513,7 (Vuur)wapenmisdrijven,2016,Montferland,Gelderland,5.0,0.0,4.918839153959666e-05,Laag
